scenario_seed,method,total_delay_h,total_capital_cost_usd,total_ships_served,total_cargo_value_usd,n_steps,reward
5000,FCFS,624.0,189901.73404641592,52,2116233413.6847327,14.0,0.0
5001,FCFS,348.0,44399.818526313145,29,603589863.1622323,14.0,0.0
5002,FCFS,456.0,92101.71307925046,38,1802120398.070397,14.0,0.0
5003,FCFS,456.0,127648.97901228062,38,1638184650.4038575,14.0,0.0
5004,FCFS,396.0,127271.69406496517,33,1289632361.3712273,14.0,0.0
5005,FCFS,396.0,121078.07154490426,33,1620301966.059848,14.0,0.0
5006,FCFS,444.0,240835.33513458056,37,2195888473.254532,14.0,0.0
5007,FCFS,468.0,112087.68280572673,39,1223065597.16369,14.0,0.0
5008,FCFS,432.0,84577.1002196737,36,973493029.6106889,14.0,0.0
5009,FCFS,516.0,203529.91160010154,43,2391026055.5270047,14.0,0.0
5010,FCFS,432.0,58807.415406883105,36,639572579.2408023,14.0,0.0
5011,FCFS,432.0,129123.06683966886,35,1366173118.379372,14.0,0.0
5012,FCFS,396.0,146427.46769975906,33,1761507525.0500612,14.0,0.0
5013,FCFS,432.0,159644.4797620913,36,1651312170.6942902,14.0,0.0
5014,FCFS,432.0,133947.88004766003,36,1544556955.3726351,14.0,0.0
5015,FCFS,516.0,191004.42910210486,43,2006835715.783894,14.0,0.0
5016,FCFS,492.0,120284.20970327775,41,1792301485.310343,14.0,0.0
5017,FCFS,324.0,109735.43764480615,27,1131981531.6631463,14.0,0.0
5018,FCFS,480.0,94879.02942516138,40,1038406925.4264913,14.0,0.0
5019,FCFS,384.0,44377.5945213162,32,577240021.9950231,14.0,0.0
5020,FCFS,516.0,161009.62443298957,43,1765079278.7895122,14.0,0.0
5021,FCFS,288.0,130563.25699487161,24,1292621553.142017,14.0,0.0
5022,FCFS,384.0,130540.05456141375,32,1434580057.0163286,14.0,0.0
5023,FCFS,540.0,245465.00008676125,45,2440398209.7781987,14.0,0.0
5024,FCFS,360.0,184357.6166301799,30,2260942070.3997126,14.0,0.0
5025,FCFS,480.0,68716.61351384217,40,849131596.7374856,14.0,0.0
5026,FCFS,420.0,163641.97610472323,35,1847971155.734016,14.0,0.0
5027,FCFS,360.0,101529.13597462433,30,1075743738.9104514,14.0,0.0
5028,FCFS,312.0,144841.49194740542,26,1672091313.9046848,14.0,0.0
5029,FCFS,552.0,80863.00084334954,46,956500288.3806845,14.0,0.0
5030,FCFS,480.0,113010.75011788601,40,1103202770.2080946,14.0,0.0
5031,FCFS,528.0,194023.08592655716,44,2106247065.7666519,14.0,0.0
5032,FCFS,408.0,155217.7796887019,34,1627945863.8723838,14.0,0.0
5033,FCFS,612.0,122956.07310064895,51,1419416809.2712986,14.0,0.0
5034,FCFS,444.0,342937.58634660486,37,3638749760.249109,14.0,0.0
5035,FCFS,456.0,185163.42683442132,38,2063377002.9511263,14.0,0.0
5036,FCFS,420.0,97154.41959219764,35,1082787733.1015909,14.0,0.0
5037,FCFS,480.0,119937.38032786422,40,1542760098.6415002,14.0,0.0
5038,FCFS,336.0,138094.683730373,28,1305681771.5953171,14.0,0.0
5039,FCFS,504.0,270211.8945301359,42,2721485081.934521,14.0,0.0
5040,FCFS,360.0,154011.06201919672,30,1621820617.9952705,14.0,0.0
5041,FCFS,408.0,80021.3708573999,34,1645015383.2084656,14.0,0.0
5042,FCFS,528.0,118351.56235836555,44,1377737483.6352122,14.0,0.0
5043,FCFS,516.0,320896.26576788595,43,3877045778.972834,14.0,0.0
5044,FCFS,480.0,77102.81676089855,40,890450160.3201343,14.0,0.0
5045,FCFS,432.0,337425.65976465435,36,3746704361.032252,14.0,0.0
5046,FCFS,432.0,170300.60363175988,36,2013017273.3768468,14.0,0.0
5047,FCFS,468.0,141316.3157752637,39,1460324615.786146,14.0,0.0
5048,FCFS,420.0,141620.18521672784,35,1614563966.0254428,14.0,0.0
5049,FCFS,516.0,276612.0987462015,43,2856412681.8905663,14.0,0.0
5000,MILP-CBC,48.0,4702.151484528939,53,2151669167.8693266,,
5001,MILP-CBC,24.0,4453.1918378091605,30,605653834.7372208,,
5002,MILP-CBC,48.0,49883.92423413616,41,2410689858.1964,,
5003,MILP-CBC,36.0,11225.855491612267,42,1741378020.9068522,,
5004,MILP-CBC,24.0,783.9330567657224,34,1296520154.357206,,
5005,MILP-CBC,96.0,12307.933271733806,35,1716528661.3216805,,
5006,MILP-CBC,36.0,5091.9846726577425,39,2200900752.784483,,
5007,MILP-CBC,48.0,432.9776622551661,44,1306056385.1071317,,
5008,MILP-CBC,48.0,5529.097523289317,37,1002592308.4349023,,
5009,MILP-CBC,36.0,9762.357758761918,44,2397776930.3805676,,
5010,MILP-CBC,36.0,1559.5846734921454,39,697584145.6217277,,
5011,MILP-CBC,60.0,1443.83242287852,38,1379103719.488909,,
5012,MILP-CBC,36.0,36458.71184812895,34,1767525206.0398526,,
5013,MILP-CBC,36.0,6306.306899888396,42,2059211874.9049041,,
5014,MILP-CBC,36.0,11075.604298126927,38,1558307131.9424355,,
5015,MILP-CBC,60.0,7709.36595490892,47,2051736393.9377503,,
5016,MILP-CBC,48.0,41092.33500992415,43,1801713706.218713,,
5017,MILP-CBC,24.0,6328.79902301468,32,1919945804.602733,,
5018,MILP-CBC,36.0,3111.7954883475545,42,1152540262.786199,,
5019,MILP-CBC,36.0,6863.109131336067,40,1050202695.2387702,,
5020,MILP-CBC,48.0,12529.293875737581,48,1790652710.3990383,,
5021,MILP-CBC,36.0,1966.2154732427907,26,1335487593.7061722,,
5022,MILP-CBC,24.0,1021.2811085277299,36,1537058471.8557825,,
5023,MILP-CBC,24.0,1484.4949631025531,46,3075402498.774477,,
5024,MILP-CBC,24.0,644.8753604386166,32,2881718651.0058403,,
5025,MILP-CBC,60.0,6061.469042025692,46,961052816.0435847,,
5026,MILP-CBC,24.0,6215.67843894944,35,1847971155.7340157,,
5027,MILP-CBC,48.0,5912.734016848243,36,1296743027.0352657,,
5028,MILP-CBC,48.0,15006.025713301207,28,1681399573.8690155,,
5029,MILP-CBC,48.0,9048.0808703564,51,1064814285.2248955,,
5030,MILP-CBC,48.0,3562.402874623463,40,1103202770.2080946,,
5031,MILP-CBC,60.0,3286.3060253938506,46,2146618219.6525595,,
5032,MILP-CBC,60.0,9302.392213092124,38,1805845918.0818744,,
5033,MILP-CBC,60.0,15320.793220489775,56,1914119184.2775822,,
5034,MILP-CBC,24.0,1553.1421999748154,42,3867411358.1566176,,
5035,MILP-CBC,48.0,1570.8348357110826,39,2280060916.465665,,
5036,MILP-CBC,24.0,3396.8533574997655,38,1113414959.7754824,,
5037,MILP-CBC,36.0,8048.510224769085,43,1600816699.5585842,,
5038,MILP-CBC,24.0,3769.3565073535947,30,1373205117.3640163,,
5039,MILP-CBC,60.0,8671.806698171898,46,2738708441.0493836,,
5040,MILP-CBC,36.0,9065.50315967668,32,1672873043.039704,,
5041,MILP-CBC,60.0,70149.41365877705,35,1651605777.2104273,,
5042,MILP-CBC,36.0,9806.767012847746,47,1803304761.0354667,,
5043,MILP-CBC,60.0,38488.07534483132,44,3880224384.55291,,
5044,MILP-CBC,24.0,9079.187579709049,41,893083639.0824025,,
5045,MILP-CBC,24.0,55983.2218139387,37,3750485056.222301,,
5046,MILP-CBC,36.0,4281.791192792802,39,2058909716.7293394,,
5047,MILP-CBC,24.0,3909.9630104543303,43,1587359205.8530931,,
5048,MILP-CBC,36.0,13315.202612385516,40,1653879826.1553168,,
5049,MILP-CBC,60.0,4547.393858571309,46,2889009969.331471,,
5000,GA,624.0,189901.73404641592,52,2116233413.6847327,14.0,
5001,GA,348.0,44399.818526313145,29,603589863.1622323,14.0,
5002,GA,456.0,92101.71307925046,38,1802120398.070397,14.0,
5003,GA,456.0,127648.97901228062,38,1638184650.4038575,14.0,
